Data e Hora Cotação;Cotação Compra;Cotação Venda
2010-01-04 17:37:00.0;1,7232;1,724
2010-01-05 17:35:00.0;1,7219;1,7227
2010-01-06 17:34:00.0;1,7329;1,7337
2010-01-07 17:37:00.0;1,7405;1,7413
2010-01-08 17:33:00.0;1,7382;1,739
2010-01-11 17:36:00.0;1,7315;1,7323
2010-01-12 17:37:00.0;1,7431;1,7439
2010-01-13 17:34:00.0;1,7434;1,7442
2010-01-14 17:42:00.0;1,764;1,7648
2010-01-15 17:40:00.0;1,7703;1,7711
2010-01-18 17:33:00.0;1,7713;1,7721
2010-01-19 17:36:00.0;1,7739;1,7747
2010-01-20 17:32:00.0;1,7846;1,7854
2010-01-21 17:38:00.0;1,7895;1,7903
2010-01-22 17:32:00.0;1,8179;1,8187
2010-01-25 17:33:00.0;1,8186;1,8194
2010-01-26 17:35:00.0;1,8359;1,8367
2010-01-27 17:36:00.0;1,8505;1,8513
2010-01-28 17:35:00.0;1,8552;1,856
2010-01-29 17:34:00.0;1,874;1,8748
2010-02-01 17:33:00.0;1,8765;1,8773
2010-02-02 17:32:00.0;1,8355;1,8363
2010-02-03 17:35:00.0;1,8329;1,8337
2010-02-04 17:33:00.0;1,8707;1,8715
2010-02-05 17:35:00.0;1,8745;1,8753
2010-02-08 17:33:00.0;1,8722;1,873
2010-02-09 17:38:00.0;1,8542;1,855
2010-02-10 17:32:00.0;1,8475;1,8483
2010-02-11 17:51:00.0;1,8508;1,8516
2010-02-12 17:35:00.0;1,8662;1,867
2010-02-17 17:36:00.0;1,8305;1,8313
2010-02-18 17:36:00.0;1,8258;1,8266
2010-02-19 17:32:00.0;1,8108;1,8116
2010-02-22 17:37:00.0;1,8038;1,8046
2010-02-23 17:33:00.0;1,8178;1,8186
2010-02-24 17:38:00.0;1,8195;1,8203
2010-02-25 17:35:00.0;1,8356;1,8364
2010-02-26 17:35:00.0;1,8102;1,811
2010-03-01 17:34:00.0;1,7992;1,8
2010-03-02 17:35:00.0;1,7843;1,7851
2010-03-03 17:32:00.0;1,7838;1,7846
2010-03-04 17:37:00.0;1,788;1,7888
2010-03-05 17:32:00.0;1,7816;1,7824
2010-03-08 17:33:00.0;1,7818;1,7826
2010-03-09 17:39:00.0;1,7891;1,7899
2010-03-10 17:34:00.0;1,7708;1,7716
2010-03-11 17:37:00.0;1,7685;1,7693
2010-03-12 17:38:00.0;1,7629;1,7637
2010-03-15 17:41:00.0;1,7636;1,7644
2010-03-16 17:46:00.0;1,7658;1,7666
2010-03-17 17:34:00.0;1,7632;1,764
2010-03-18 17:34:00.0;1,784;1,7848
2010-03-19 17:37:00.0;1,7946;1,7954
2010-03-22 17:37:00.0;1,8022;1,803
2010-03-23 17:41:00.0;1,7805;1,7813
2010-03-24 17:38:00.0;1,7896;1,7904
2010-03-25 17:59:00.0;1,8;1,8008
2010-03-26 17:35:00.0;1,8223;1,8231
2010-03-29 17:37:44.529;1,8056;1,8064
2010-03-30 17:39:06.616;1,7944;1,7952
2010-03-31 17:36:21.588;1,7802;1,781
2010-04-01 17:38:56.858;1,7693;1,7701
2010-04-05 17:36:53.754;1,7565;1,7573
2010-04-06 17:34:49.987;1,7597;1,7605
2010-04-07 17:37:14.88;1,7654;1,7662
2010-04-08 17:37:49.453;1,7798;1,7806
2010-04-09 17:40:12.791;1,7722;1,773
2010-04-12 17:34:43.005;1,76;1,7608
2010-04-13 17:35:21.318;1,7576;1,7584
2010-04-14 17:35:09.424;1,7438;1,7446
2010-04-15 17:33:03.626;1,7475;1,7483
2010-04-16 17:39:58.9;1,755;1,7558
2010-04-19 17:38:12.453;1,758;1,7588
2010-04-20 18:02:44.86;1,7489;1,7497
2010-04-22 17:35:12.91;1,7618;1,7626
2010-04-23 17:41:45.657;1,7616;1,7624
2010-04-26 17:36:46.791;1,7438;1,7446
2010-04-27 17:41:17.604;1,7584;1,7592
2010-04-28 17:50:03.55;1,755;1,7558
2010-04-29 17:37:24.943;1,7313;1,7321
2010-04-30 17:35:28.386;1,7298;1,7306
2010-05-03 17:45:35.207;1,7307;1,7315
2010-05-04 17:39:51.446;1,7549;1,7557
2010-05-05 17:41:29.678;1,7854;1,7862
2010-05-06 17:39:34.535;1,8345;1,8353
2010-05-07 17:34:42.727;1,8335;1,8343
2010-05-10 17:34:10.777;1,7825;1,7833
2010-05-11 17:34:41.508;1,7835;1,7843
2010-05-12 17:45:50.401;1,7715;1,7723
2010-05-13 17:36:15.837;1,7729;1,7737
2010-05-14 17:34:59.436;1,7959;1,7967
2010-05-17 17:35:48.832;1,8037;1,8045
2010-05-18 17:34:34.669;1,7913;1,7921
2010-05-19 17:47:48.225;1,8358;1,8366
2010-05-20 17:32:23.277;1,8669;1,8677
2010-05-21 17:33:27.416;1,8702;1,871
2010-05-24 17:32:32.997;1,8514;1,8522
2010-05-25 17:31:26.324;1,8803;1,8811
2010-05-26 17:34:25.863;1,8453;1,8461
2010-05-27 17:35:37.141;1,832;1,8328
2010-05-28 17:34:49.479;1,8221;1,8229
2010-05-31 17:35:43.414;1,8159;1,8167
2010-06-01 17:41:44.276;1,8247;1,8255
2010-06-02 17:32:49.588;1,8354;1,8362
2010-06-04 17:32:39.86;1,8393;1,8401
2010-06-07 17:32:05.592;1,8626;1,8634
2010-06-08 17:32:07.132;1,865;1,8658
2010-06-09 17:33:40.417;1,8415;1,8423
2010-06-10 17:35:29.158;1,8177;1,8185
2010-06-11 17:37:09.486;1,8117;1,8125
2010-06-14 17:40:20.697;1,8022;1,803
2010-06-15 14:03:33.118;1,7963;1,7971
2010-06-16 17:41:15.758;1,7885;1,7893
2010-06-17 17:40:51.003;1,7809;1,7817
2010-06-18 17:38:15.783;1,7753;1,7761
2010-06-21 17:37:44.686;1,7655;1,7663
2010-06-22 17:37:14.118;1,7672;1,768
2010-06-23 17:31:19.162;1,79;1,7908
2010-06-24 17:36:04.503;1,7899;1,7907
2010-06-25 17:46:08.628;1,7773;1,7781
2010-06-28 14:04:20.541;1,7818;1,7826
2010-06-29 17:38:35.905;1,8068;1,8076
2010-06-30 17:35:11.498;1,8007;1,8015
2010-07-01 17:36:13.304;1,7998;1,8006
2010-07-02 17:46:01.764;1,7777;1,7785
